,blurb,href,id,numrate,price,seller,stars
67,"SVG Font INSTANT DOWNLOAD ""Hadley Brush"" Includes caps, svg, script cut file, cursive font, handlettered font, brush font, script, dxf svg",https://www.etsy.com/listing/507407612/svg-font-instant-download-hadley-brush?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-34&pro=1,507407612,563,4.05,DixieTypeCo,4.9189
68,Custom Family Portrait PRINTABLE Anniversary Gifts for Men Family Portrait Illustration Custom Illustrated Family Portrait Anniversary Gifts,https://www.etsy.com/listing/385561952/custom-family-portrait-printable?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-35&frs=1,385561952,714,40.00,WLAZdesignSHOP,4.9854
69,kids wall art  - enjoy the moment - girls bedroom - 8x10 print - instant art - printable art - freehand text - girls rainbow,https://www.etsy.com/listing/535761218/kids-wall-art-enjoy-the-moment-girls?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-36,535761218,87,5.74,katiejardineART,4.8
70,Custom family Portrait,https://www.etsy.com/listing/157869668/custom-family-portrait?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-37&frs=1,157869668,997,90.00,HenryJamesPaperGoods,4.993
71,"Art Print, Illustration BUTTERFLIES1- The Colors of the Nature - Wall decor,Fine Art Prints, Art Poster",https://www.etsy.com/listing/167314737/art-print-illustration-butterflies1-the?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-38,167314737,431,19.00,RococcoLA,4.7368
72,"Home illustration, Custom house portrait, Personalised first home gift, House warming gift, New home, Family home, Where we live drawing",https://www.etsy.com/listing/281407888/home-illustration-custom-house-portrait?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-39,281407888,239,85.29,NoOrdinaryEmporium,4.9355
73,"Rose Clip-art, Watercolor Clip-art, Watercolor Lilace Rose Clip-art, Purple Rose Watercolor, Scrapbook Clip-art, Commercial. No. WC55",https://www.etsy.com/listing/544873881/rose-clip-art-watercolor-clip-art?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-40,544873881,338,3.25,BloomsArtShop,5
74,"Elephant Nursery Print, aqua nursery decor, elephant art, custom name gift, Gender neutral Baby gift, Watercolor elephant",https://www.etsy.com/listing/464872200/elephant-nursery-print-aqua-nursery?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-41&cns=1&col=1,464872200,532,12.06,LaSardinaRosa,4.9
75,"SVG, PNG, DXF Cut File, Second, Second Grade, First Day of School, School, Silhouette Cut File, Cricut Cut File",https://www.etsy.com/listing/544848299/svg-png-dxf-cut-file-second-second-grade?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-42,544848299,303,2.99,MySugarplumCuties,5
76,Las Vegas sign blank - Clipart / Cutting Files Svg Png Jpg Dxf Studio Digital Graphic Design Instant Download Commercial Use icon 01049c,https://www.etsy.com/listing/523214739/las-vegas-sign-blank-clipart-cutting?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=&ref=sr_gallery-3-43&pro=1,523214739,2599,3.10,HaHaHaArt,4.9416
